id_site,id_student,code_module,code_presentation,date,sum_click
12,1,AAA,2013J,166,25
5,1,AAA,2013J,182,11
13,1,AAA,2013J,182,6
18,1,AAA,2013J,180,45
29,1,AAA,2013J,180,6
16,1,AAA,2013J,169,20
25,1,AAA,2013J,169,1
20,1,AAA,2013J,169,1
5,1,AAA,2013J,169,14
8,1,AAA,2013J,9,21
23,1,AAA,2013J,9,1
30,1,AAA,2013J,9,47
1,1,AAA,2013J,9,11
20,1,AAA,2013J,9,19
11,1,AAA,2013J,141,1
21,1,AAA,2013J,141,30
10,1,AAA,2013J,141,13
22,1,AAA,2013J,3,1
10,1,AAA,2013J,3,13
14,1,AAA,2013J,3,8
18,1,AAA,2013J,3,47
29,1,AAA,2013J,3,4
8,1,AAA,2013J,144,45
13,1,AAA,2013J,144,49
4,1,AAA,2013J,144,1
21,1,AAA,2013J,144,14
5,1,AAA,2013J,190,31
10,1,AAA,2013J,199,7
21,1,AAA,2013J,199,11
6,1,AAA,2013J,199,9
14,1,AAA,2013J,199,19
4,1,AAA,2013J,128,22
3,1,AAA,2013J,128,7
21,1,AAA,2013J,128,5
17,1,AAA,2013J,128,15
8,1,AAA,2013J,128,15
4,1,AAA,2013J,52,7
8,1,AAA,2013J,52,19
20,1,AAA,2013J,126,22
21,1,AAA,2013J,223,23
19,1,AAA,2013J,223,12
21,1,AAA,2013J,164,1
6,1,AAA,2013J,164,12
18,1,AAA,2013J,164,2
3,1,AAA,2013J,164,13
22,1,AAA,2013J,10,8
5,1,AAA,2013J,10,10
24,1,AAA,2013J,10,13
26,1,AAA,2013J,10,4
25,1,AAA,2013J,239,17
26,1,AAA,2013J,239,2
21,1,AAA,2013J,239,29
3,1,AAA,2013J,239,34
18,1,AAA,2013J,239,3
3,1,AAA,2013J,130,16
23,1,AAA,2013J,130,53
21,1,AAA,2013J,154,30
22,1,AAA,2013J,154,46
14,1,AAA,2013J,154,1
8,1,AAA,2013J,69,72
10,1,AAA,2013J,69,6
13,1,AAA,2013J,69,20
10,1,AAA,2013J,115,3
8,1,AAA,2013J,87,21
26,1,AAA,2013J,87,22
2,1,AAA,2013J,208,17
23,1,AAA,2013J,208,11
11,1,AAA,2013J,208,1
6,1,AAA,2013J,193,21
18,1,AAA,2013J,193,20
12,1,AAA,2013J,120,4
13,1,AAA,2013J,120,6
21,1,AAA,2013J,120,11
29,1,AAA,2013J,120,4
15,1,AAA,2013J,26,13
26,1,AAA,2013J,26,20
25,1,AAA,2013J,93,10
14,1,AAA,2013J,93,12
17,1,AAA,2013J,93,10
15,1,AAA,2013J,93,11
8,1,AAA,2013J,143,50
3,1,AAA,2013J,212,16
11,1,AAA,2013J,212,7
22,1,AAA,2013J,57,2
1,1,AAA,2013J,27,13
16,1,AAA,2013J,27,5
27,1,AAA,2013J,1,18
1,1,AAA,2013J,49,3
10,1,AAA,2013J,49,3
3,1,AAA,2013J,49,22
18,1,AAA,2013J,49,9
20,1,AAA,2013J,183,14
27,1,AAA,2013J,183,19
7,1,AAA,2013J,183,62
15,1,AAA,2013J,183,33
9,1,AAA,2013J,183,68
14,1,AAA,2013J,83,1
10,1,AAA,2013J,196,10
3,1,AAA,2013J,196,3
28,1,AAA,2013J,76,18
6,1,AAA,2013J,76,7
25,1,AAA,2013J,76,11
29,1,AAA,2013J,76,5
2,1,AAA,2013J,76,14
21,1,AAA,2013J,109,15
9,1,AAA,2013J,109,20
14,1,AAA,2013J,107,8
5,1,AAA,2013J,100,7
19,1,AAA,2013J,200,3
8,1,AAA,2013J,200,9
28,1,AAA,2013J,200,13
27,1,AAA,2013J,200,13
5,1,AAA,2013J,200,3
28,1,AAA,2013J,54,3
4,1,AAA,2013J,54,1
19,1,AAA,2013J,54,20
21,1,AAA,2013J,54,38
2,1,AAA,2013J,147,9
17,1,AAA,2013J,147,1
24,1,AAA,2013J,147,7
24,1,AAA,2013J,227,16
13,1,AAA,2013J,227,11
26,1,AAA,2013J,140,13
1,1,AAA,2013J,74,23
5,1,AAA,2013J,74,1
15,1,AAA,2013J,46,1
6,1,AAA,2013J,46,1
10,1,AAA,2013J,20,3
14,1,AAA,2013J,20,19
25,1,AAA,2013J,20,16
24,1,AAA,2013J,20,42
2,1,AAA,2013J,11,2
3,1,AAA,2013J,11,6
29,1,AAA,2013J,50,13
20,1,AAA,2013J,50,25
2,1,AAA,2013J,5,5
10,1,AAA,2013J,5,1
19,1,AAA,2013J,5,7
25,1,AAA,2013J,237,1
26,1,AAA,2013J,237,35
8,1,AAA,2013J,237,12
22,1,AAA,2013J,237,1
6,1,AAA,2013J,51,6
9,1,AAA,2013J,51,26
29,1,AAA,2013J,51,31
17,1,AAA,2013J,145,25
18,1,AAA,2013J,145,6
8,1,AAA,2013J,145,39
11,1,AAA,2013J,145,12
26,1,AAA,2013J,94,2
27,1,AAA,2013J,94,3
18,1,AAA,2013J,94,1
15,1,AAA,2013J,94,2
22,1,AAA,2013J,30,13
5,1,AAA,2013J,177,7
16,1,AAA,2013J,177,3
25,1,AAA,2013J,177,13
23,1,AAA,2013J,177,38
19,1,AAA,2013J,177,8
6,1,AAA,2013J,38,1
21,1,AAA,2013J,38,35
6,1,AAA,2013J,184,3
15,1,AAA,2013J,184,11
16,1,AAA,2013J,213,7
3,1,AAA,2013J,213,24
8,1,AAA,2013J,84,6
9,1,AAA,2013J,84,15
23,1,AAA,2013J,133,14
20,1,AAA,2013J,133,6
26,1,AAA,2013J,133,3
9,1,AAA,2013J,133,1
15,1,AAA,2013J,133,13
12,1,AAA,2013J,113,1
16,1,AAA,2013J,113,31
9,1,AAA,2013J,113,1
16,1,AAA,2013J,44,2
8,1,AAA,2013J,44,9
6,1,AAA,2013J,44,25
2,1,AAA,2013J,44,2
9,1,AAA,2013J,44,4
27,1,AAA,2013J,92,22
10,1,AAA,2013J,92,19
20,1,AAA,2013J,92,13
29,1,AAA,2013J,92,8
5,1,AAA,2013J,92,13
5,1,AAA,2013J,7,22
15,1,AAA,2013J,7,1
